Data,Cod_Sensor,Lectura,Fecha,Topic
0,8,ain3,"2019-04-08 12:47:59",DRN111
25.13,5,Temp1,"2019-04-08 12:47:55",DRN111
0,6,ain1,"2019-04-08 12:47:55",DRN111
0,7,ain2,"2019-04-08 12:47:55",DRN111
0,8,ain3,"2019-04-08 12:47:55",DRN111
0,5,Temp1,"2019-04-08 12:47:54",DRN111
0,6,ain1,"2019-04-08 12:47:54",DRN111
0,7,ain2,"2019-04-08 12:47:54",DRN111
0,8,ain3,"2019-04-08 12:47:54",DRN111
25.13,5,Temp1,"2019-04-08 12:47:51",DRN111
0,6,ain1,"2019-04-08 12:47:51",DRN111
0,7,ain2,"2019-04-08 12:47:51",DRN111
0,8,ain3,"2019-04-08 12:47:51",DRN111
0,5,Temp1,"2019-04-08 12:47:50",DRN111
0,6,ain1,"2019-04-08 12:47:50",DRN111
0,7,ain2,"2019-04-08 12:47:50",DRN111
0,8,ain3,"2019-04-08 12:47:50",DRN111
25.13,5,Temp1,"2019-04-08 12:47:47",DRN111
0,6,ain1,"2019-04-08 12:47:47",DRN111
0,7,ain2,"2019-04-08 12:47:47",DRN111
0,8,ain3,"2019-04-08 12:47:47",DRN111
0,5,Temp1,"2019-04-08 12:47:46",DRN111
0,6,ain1,"2019-04-08 12:47:46",DRN111
0,7,ain2,"2019-04-08 12:47:46",DRN111
0,8,ain3,"2019-04-08 12:47:46",DRN111
25.06,5,Temp1,"2019-04-08 12:47:43",DRN111
0,6,ain1,"2019-04-08 12:47:43",DRN111
0,7,ain2,"2019-04-08 12:47:43",DRN111
0,8,ain3,"2019-04-08 12:47:43",DRN111
0,5,Temp1,"2019-04-08 12:47:42",DRN111
0,6,ain1,"2019-04-08 12:47:42",DRN111
0,7,ain2,"2019-04-08 12:47:42",DRN111
0,8,ain3,"2019-04-08 12:47:42",DRN111
25.06,5,Temp1,"2019-04-08 12:47:38",DRN111
0,6,ain1,"2019-04-08 12:47:38",DRN111
0,7,ain2,"2019-04-08 12:47:38",DRN111
0,8,ain3,"2019-04-08 12:47:38",DRN111
0,5,Temp1,"2019-04-08 12:47:37",DRN111
0,6,ain1,"2019-04-08 12:47:37",DRN111
0,7,ain2,"2019-04-08 12:47:37",DRN111
0,8,ain3,"2019-04-08 12:47:37",DRN111
25.06,5,Temp1,"2019-04-08 12:47:34",DRN111
0,6,ain1,"2019-04-08 12:47:34",DRN111
0,7,ain2,"2019-04-08 12:47:34",DRN111
0,8,ain3,"2019-04-08 12:47:34",DRN111
0,5,Temp1,"2019-04-08 12:47:33",DRN111
0,6,ain1,"2019-04-08 12:47:33",DRN111
0,7,ain2,"2019-04-08 12:47:33",DRN111
0,8,ain3,"2019-04-08 12:47:33",DRN111
25.06,5,Temp1,"2019-04-08 12:47:30",DRN111
0,6,ain1,"2019-04-08 12:47:30",DRN111
0,7,ain2,"2019-04-08 12:47:30",DRN111
0,8,ain3,"2019-04-08 12:47:30",DRN111
0,5,Temp1,"2019-04-08 12:47:29",DRN111
0,6,ain1,"2019-04-08 12:47:29",DRN111
0,7,ain2,"2019-04-08 12:47:29",DRN111
0,8,ain3,"2019-04-08 12:47:29",DRN111
25.06,5,Temp1,"2019-04-08 12:47:26",DRN111
0,6,ain1,"2019-04-08 12:47:26",DRN111
0,7,ain2,"2019-04-08 12:47:26",DRN111
0,8,ain3,"2019-04-08 12:47:26",DRN111
0,5,Temp1,"2019-04-08 12:47:25",DRN111
0,6,ain1,"2019-04-08 12:47:25",DRN111
0,7,ain2,"2019-04-08 12:47:25",DRN111
0,8,ain3,"2019-04-08 12:47:25",DRN111
25.06,5,Temp1,"2019-04-08 12:47:22",DRN111
0,6,ain1,"2019-04-08 12:47:22",DRN111
0,7,ain2,"2019-04-08 12:47:22",DRN111
0,8,ain3,"2019-04-08 12:47:22",DRN111
0,5,Temp1,"2019-04-08 12:47:20",DRN111
0,6,ain1,"2019-04-08 12:47:20",DRN111
0,7,ain2,"2019-04-08 12:47:20",DRN111
0,8,ain3,"2019-04-08 12:47:20",DRN111
25.06,5,Temp1,"2019-04-08 12:47:17",DRN111
0,6,ain1,"2019-04-08 12:47:17",DRN111
0,7,ain2,"2019-04-08 12:47:17",DRN111
0,8,ain3,"2019-04-08 12:47:17",DRN111
0,5,Temp1,"2019-04-08 12:47:16",DRN111
0,6,ain1,"2019-04-08 12:47:16",DRN111
0,7,ain2,"2019-04-08 12:47:16",DRN111
0,8,ain3,"2019-04-08 12:47:16",DRN111
25.06,5,Temp1,"2019-04-08 12:47:14",DRN111
0,6,ain1,"2019-04-08 12:47:14",DRN111
0,7,ain2,"2019-04-08 12:47:14",DRN111
0,8,ain3,"2019-04-08 12:47:14",DRN111
0,5,Temp1,"2019-04-08 12:47:12",DRN111
0,6,ain1,"2019-04-08 12:47:12",DRN111
0,7,ain2,"2019-04-08 12:47:12",DRN111
0,8,ain3,"2019-04-08 12:47:12",DRN111
25.06,5,Temp1,"2019-04-08 12:47:10",DRN111
0,6,ain1,"2019-04-08 12:47:10",DRN111
0,7,ain2,"2019-04-08 12:47:10",DRN111
0.03,8,ain3,"2019-04-08 12:47:10",DRN111
0,5,Temp1,"2019-04-08 12:47:09",DRN111
0,6,ain1,"2019-04-08 12:47:09",DRN111
0,7,ain2,"2019-04-08 12:47:09",DRN111
0,8,ain3,"2019-04-08 12:47:09",DRN111
25.06,5,Temp1,"2019-04-08 12:47:05",DRN111
0,6,ain1,"2019-04-08 12:47:05",DRN111
0,7,ain2,"2019-04-08 12:47:05",DRN111
0,8,ain3,"2019-04-08 12:47:05",DRN111
0,5,Temp1,"2019-04-08 12:47:04",DRN111
0,6,ain1,"2019-04-08 12:47:04",DRN111
0,7,ain2,"2019-04-08 12:47:04",DRN111
0,8,ain3,"2019-04-08 12:47:04",DRN111
25.06,5,Temp1,"2019-04-08 12:47:01",DRN111
0,6,ain1,"2019-04-08 12:47:01",DRN111
0,7,ain2,"2019-04-08 12:47:01",DRN111
0,8,ain3,"2019-04-08 12:47:01",DRN111
0,5,Temp1,"2019-04-08 12:47:00",DRN111
0,6,ain1,"2019-04-08 12:47:00",DRN111
0,7,ain2,"2019-04-08 12:47:00",DRN111
0,8,ain3,"2019-04-08 12:47:00",DRN111
25.06,5,Temp1,"2019-04-08 12:46:57",DRN111
0,6,ain1,"2019-04-08 12:46:57",DRN111
0,7,ain2,"2019-04-08 12:46:57",DRN111
0,8,ain3,"2019-04-08 12:46:57",DRN111
0,5,Temp1,"2019-04-08 12:46:56",DRN111
0,6,ain1,"2019-04-08 12:46:56",DRN111
0,7,ain2,"2019-04-08 12:46:56",DRN111
0,8,ain3,"2019-04-08 12:46:56",DRN111
25.06,5,Temp1,"2019-04-08 12:46:53",DRN111
0,6,ain1,"2019-04-08 12:46:53",DRN111
0,7,ain2,"2019-04-08 12:46:53",DRN111
0,8,ain3,"2019-04-08 12:46:53",DRN111
0,5,Temp1,"2019-04-08 12:46:52",DRN111
0,6,ain1,"2019-04-08 12:46:52",DRN111
0,7,ain2,"2019-04-08 12:46:52",DRN111
0,8,ain3,"2019-04-08 12:46:52",DRN111
25.06,5,Temp1,"2019-04-08 12:46:48",DRN111
0,6,ain1,"2019-04-08 12:46:48",DRN111
0,7,ain2,"2019-04-08 12:46:48",DRN111
0,8,ain3,"2019-04-08 12:46:48",DRN111
0,5,Temp1,"2019-04-08 12:46:47",DRN111
0,6,ain1,"2019-04-08 12:46:47",DRN111
0,7,ain2,"2019-04-08 12:46:47",DRN111
0,8,ain3,"2019-04-08 12:46:47",DRN111
25.06,5,Temp1,"2019-04-08 12:46:44",DRN111
0,6,ain1,"2019-04-08 12:46:44",DRN111
0,7,ain2,"2019-04-08 12:46:44",DRN111
0,8,ain3,"2019-04-08 12:46:44",DRN111
0,5,Temp1,"2019-04-08 12:46:43",DRN111
0,6,ain1,"2019-04-08 12:46:43",DRN111
0,7,ain2,"2019-04-08 12:46:43",DRN111
0,8,ain3,"2019-04-08 12:46:43",DRN111
25.06,5,Temp1,"2019-04-08 12:46:40",DRN111
0,6,ain1,"2019-04-08 12:46:40",DRN111
0,7,ain2,"2019-04-08 12:46:40",DRN111
0,8,ain3,"2019-04-08 12:46:40",DRN111
0,5,Temp1,"2019-04-08 12:46:39",DRN111
0,6,ain1,"2019-04-08 12:46:39",DRN111
0,7,ain2,"2019-04-08 12:46:39",DRN111
0,8,ain3,"2019-04-08 12:46:39",DRN111
25.06,5,Temp1,"2019-04-08 12:46:36",DRN111
0,6,ain1,"2019-04-08 12:46:36",DRN111
0,7,ain2,"2019-04-08 12:46:36",DRN111
0,8,ain3,"2019-04-08 12:46:36",DRN111
0,5,Temp1,"2019-04-08 12:46:35",DRN111
0,6,ain1,"2019-04-08 12:46:35",DRN111
0,7,ain2,"2019-04-08 12:46:35",DRN111
0,8,ain3,"2019-04-08 12:46:35",DRN111
25.06,5,Temp1,"2019-04-08 12:46:31",DRN111
0,6,ain1,"2019-04-08 12:46:31",DRN111
0,7,ain2,"2019-04-08 12:46:31",DRN111
0,8,ain3,"2019-04-08 12:46:31",DRN111
0,5,Temp1,"2019-04-08 12:46:30",DRN111
0,6,ain1,"2019-04-08 12:46:30",DRN111
0,7,ain2,"2019-04-08 12:46:30",DRN111
0,8,ain3,"2019-04-08 12:46:30",DRN111
25.06,5,Temp1,"2019-04-08 12:46:27",DRN111
0,6,ain1,"2019-04-08 12:46:27",DRN111
0,7,ain2,"2019-04-08 12:46:27",DRN111
0,8,ain3,"2019-04-08 12:46:27",DRN111
0,5,Temp1,"2019-04-08 12:46:26",DRN111
0,6,ain1,"2019-04-08 12:46:26",DRN111
0,7,ain2,"2019-04-08 12:46:26",DRN111
0,8,ain3,"2019-04-08 12:46:26",DRN111
25.06,5,Temp1,"2019-04-08 12:46:23",DRN111
0,6,ain1,"2019-04-08 12:46:23",DRN111
0,7,ain2,"2019-04-08 12:46:23",DRN111
0,8,ain3,"2019-04-08 12:46:23",DRN111
0,5,Temp1,"2019-04-08 12:46:22",DRN111
0,6,ain1,"2019-04-08 12:46:22",DRN111
0,7,ain2,"2019-04-08 12:46:22",DRN111
0,8,ain3,"2019-04-08 12:46:22",DRN111
25.06,5,Temp1,"2019-04-08 12:46:19",DRN111
0,6,ain1,"2019-04-08 12:46:19",DRN111
0,7,ain2,"2019-04-08 12:46:19",DRN111
0,8,ain3,"2019-04-08 12:46:19",DRN111
0,5,Temp1,"2019-04-08 12:46:18",DRN111
0,6,ain1,"2019-04-08 12:46:18",DRN111
0,7,ain2,"2019-04-08 12:46:18",DRN111
0,8,ain3,"2019-04-08 12:46:18",DRN111
25.06,5,Temp1,"2019-04-08 12:46:14",DRN111
0,6,ain1,"2019-04-08 12:46:14",DRN111
0,7,ain2,"2019-04-08 12:46:14",DRN111
0,8,ain3,"2019-04-08 12:46:14",DRN111
0,5,Temp1,"2019-04-08 12:46:13",DRN111
0,6,ain1,"2019-04-08 12:46:13",DRN111
0,7,ain2,"2019-04-08 12:46:13",DRN111
0,8,ain3,"2019-04-08 12:46:13",DRN111
25.06,5,Temp1,"2019-04-08 12:46:10",DRN111
0,6,ain1,"2019-04-08 12:46:10",DRN111
0,7,ain2,"2019-04-08 12:46:10",DRN111
0,8,ain3,"2019-04-08 12:46:10",DRN111
0,5,Temp1,"2019-04-08 12:46:09",DRN111
0,6,ain1,"2019-04-08 12:46:09",DRN111
0,7,ain2,"2019-04-08 12:46:09",DRN111
0,8,ain3,"2019-04-08 12:46:09",DRN111
25.06,5,Temp1,"2019-04-08 12:46:06",DRN111
0,6,ain1,"2019-04-08 12:46:06",DRN111
0,7,ain2,"2019-04-08 12:46:06",DRN111
0,8,ain3,"2019-04-08 12:46:06",DRN111
0,5,Temp1,"2019-04-08 12:46:05",DRN111
0,6,ain1,"2019-04-08 12:46:05",DRN111
0,7,ain2,"2019-04-08 12:46:05",DRN111
0,8,ain3,"2019-04-08 12:46:05",DRN111
25.06,5,Temp1,"2019-04-08 12:46:02",DRN111
0,6,ain1,"2019-04-08 12:46:02",DRN111
0,7,ain2,"2019-04-08 12:46:02",DRN111
0,8,ain3,"2019-04-08 12:46:02",DRN111
0,5,Temp1,"2019-04-08 12:46:01",DRN111
0,6,ain1,"2019-04-08 12:46:01",DRN111
0,7,ain2,"2019-04-08 12:46:01",DRN111
0,8,ain3,"2019-04-08 12:46:01",DRN111
25,5,Temp1,"2019-04-08 12:45:57",DRN111
0,6,ain1,"2019-04-08 12:45:57",DRN111
0,7,ain2,"2019-04-08 12:45:57",DRN111
0,8,ain3,"2019-04-08 12:45:57",DRN111
0,5,Temp1,"2019-04-08 12:45:56",DRN111
0,6,ain1,"2019-04-08 12:45:56",DRN111
0,7,ain2,"2019-04-08 12:45:56",DRN111
0,8,ain3,"2019-04-08 12:45:56",DRN111
25.06,5,Temp1,"2019-04-08 12:45:53",DRN111
0,6,ain1,"2019-04-08 12:45:53",DRN111
0,7,ain2,"2019-04-08 12:45:53",DRN111
0,8,ain3,"2019-04-08 12:45:53",DRN111
0,5,Temp1,"2019-04-08 12:45:52",DRN111
0,6,ain1,"2019-04-08 12:45:52",DRN111
0,7,ain2,"2019-04-08 12:45:52",DRN111
0,8,ain3,"2019-04-08 12:45:52",DRN111
25.06,5,Temp1,"2019-04-08 12:45:48",DRN111
0,6,ain1,"2019-04-08 12:45:48",DRN111
0,7,ain2,"2019-04-08 12:45:48",DRN111
0,8,ain3,"2019-04-08 12:45:48",DRN111
0,5,Temp1,"2019-04-08 12:45:47",DRN111
0,6,ain1,"2019-04-08 12:45:47",DRN111
0,7,ain2,"2019-04-08 12:45:47",DRN111
0,8,ain3,"2019-04-08 12:45:47",DRN111
25.06,5,Temp1,"2019-04-08 12:45:45",DRN111
0,6,ain1,"2019-04-08 12:45:45",DRN111
0,7,ain2,"2019-04-08 12:45:45",DRN111
0,8,ain3,"2019-04-08 12:45:45",DRN111
0,5,Temp1,"2019-04-08 12:45:43",DRN111
0,6,ain1,"2019-04-08 12:45:43",DRN111
0,7,ain2,"2019-04-08 12:45:43",DRN111
0,8,ain3,"2019-04-08 12:45:43",DRN111
25,5,Temp1,"2019-04-08 12:45:40",DRN111
0,6,ain1,"2019-04-08 12:45:40",DRN111
0,7,ain2,"2019-04-08 12:45:40",DRN111
0,8,ain3,"2019-04-08 12:45:40",DRN111
0,5,Temp1,"2019-04-08 12:45:39",DRN111
0,6,ain1,"2019-04-08 12:45:39",DRN111
0,7,ain2,"2019-04-08 12:45:39",DRN111
0,8,ain3,"2019-04-08 12:45:39",DRN111
25.06,5,Temp1,"2019-04-08 12:45:36",DRN111
0,6,ain1,"2019-04-08 12:45:36",DRN111
0,7,ain2,"2019-04-08 12:45:36",DRN111
0,8,ain3,"2019-04-08 12:45:36",DRN111
0,5,Temp1,"2019-04-08 12:45:35",DRN111
0,6,ain1,"2019-04-08 12:45:35",DRN111
0,7,ain2,"2019-04-08 12:45:35",DRN111
0,8,ain3,"2019-04-08 12:45:35",DRN111
25.06,5,Temp1,"2019-04-08 12:45:32",DRN111
0,6,ain1,"2019-04-08 12:45:32",DRN111
0,7,ain2,"2019-04-08 12:45:32",DRN111
0,8,ain3,"2019-04-08 12:45:32",DRN111
0,5,Temp1,"2019-04-08 12:45:31",DRN111
0,6,ain1,"2019-04-08 12:45:31",DRN111
0,7,ain2,"2019-04-08 12:45:31",DRN111
0,8,ain3,"2019-04-08 12:45:31",DRN111
25.06,5,Temp1,"2019-04-08 12:45:27",DRN111
0,6,ain1,"2019-04-08 12:45:27",DRN111
0,7,ain2,"2019-04-08 12:45:27",DRN111
0,8,ain3,"2019-04-08 12:45:27",DRN111
0,5,Temp1,"2019-04-08 12:45:26",DRN111
0,6,ain1,"2019-04-08 12:45:26",DRN111
0,7,ain2,"2019-04-08 12:45:26",DRN111
0,8,ain3,"2019-04-08 12:45:26",DRN111
25.06,5,Temp1,"2019-04-08 12:45:22",DRN111
0,6,ain1,"2019-04-08 12:45:22",DRN111
0,7,ain2,"2019-04-08 12:45:22",DRN111
0,8,ain3,"2019-04-08 12:45:22",DRN111
0,5,Temp1,"2019-04-08 12:45:21",DRN111
0,6,ain1,"2019-04-08 12:45:21",DRN111
0,7,ain2,"2019-04-08 12:45:21",DRN111
0,8,ain3,"2019-04-08 12:45:21",DRN111
25.06,5,Temp1,"2019-04-08 12:45:18",DRN111
0,6,ain1,"2019-04-08 12:45:18",DRN111
0,7,ain2,"2019-04-08 12:45:18",DRN111
0,8,ain3,"2019-04-08 12:45:18",DRN111
0,5,Temp1,"2019-04-08 12:45:17",DRN111
0,6,ain1,"2019-04-08 12:45:17",DRN111
0,7,ain2,"2019-04-08 12:45:17",DRN111
0,8,ain3,"2019-04-08 12:45:17",DRN111
25.06,5,Temp1,"2019-04-08 12:45:14",DRN111
0,6,ain1,"2019-04-08 12:45:14",DRN111
0,7,ain2,"2019-04-08 12:45:14",DRN111
0,8,ain3,"2019-04-08 12:45:14",DRN111
0,5,Temp1,"2019-04-08 12:45:13",DRN111
0,6,ain1,"2019-04-08 12:45:13",DRN111
0,7,ain2,"2019-04-08 12:45:13",DRN111
0,8,ain3,"2019-04-08 12:45:13",DRN111
25.06,5,Temp1,"2019-04-08 12:45:10",DRN111
0,6,ain1,"2019-04-08 12:45:10",DRN111
0,7,ain2,"2019-04-08 12:45:10",DRN111
0,8,ain3,"2019-04-08 12:45:10",DRN111
0,5,Temp1,"2019-04-08 12:45:09",DRN111
0,6,ain1,"2019-04-08 12:45:09",DRN111
0,7,ain2,"2019-04-08 12:45:09",DRN111
0,8,ain3,"2019-04-08 12:45:09",DRN111
25.06,5,Temp1,"2019-04-08 12:45:06",DRN111
0,6,ain1,"2019-04-08 12:45:06",DRN111
0,7,ain2,"2019-04-08 12:45:06",DRN111
0,8,ain3,"2019-04-08 12:45:06",DRN111
0,5,Temp1,"2019-04-08 12:45:05",DRN111
0,6,ain1,"2019-04-08 12:45:05",DRN111
0,7,ain2,"2019-04-08 12:45:05",DRN111
0,8,ain3,"2019-04-08 12:45:05",DRN111
25.06,5,Temp1,"2019-04-08 12:45:01",DRN111
0,6,ain1,"2019-04-08 12:45:01",DRN111
0,7,ain2,"2019-04-08 12:45:01",DRN111
0,8,ain3,"2019-04-08 12:45:01",DRN111
0,5,Temp1,"2019-04-08 12:45:00",DRN111
0,6,ain1,"2019-04-08 12:45:00",DRN111
0,7,ain2,"2019-04-08 12:45:00",DRN111
0,8,ain3,"2019-04-08 12:45:00",DRN111
25.06,5,Temp1,"2019-04-08 12:44:58",DRN111
0,6,ain1,"2019-04-08 12:44:58",DRN111
0,7,ain2,"2019-04-08 12:44:58",DRN111
0,8,ain3,"2019-04-08 12:44:58",DRN111
0,5,Temp1,"2019-04-08 12:44:56",DRN111
0,6,ain1,"2019-04-08 12:44:56",DRN111
0,7,ain2,"2019-04-08 12:44:56",DRN111
0,8,ain3,"2019-04-08 12:44:56",DRN111
25.06,5,Temp1,"2019-04-08 12:44:54",DRN111
0,6,ain1,"2019-04-08 12:44:54",DRN111
0,7,ain2,"2019-04-08 12:44:54",DRN111
0,8,ain3,"2019-04-08 12:44:54",DRN111
0,5,Temp1,"2019-04-08 12:44:53",DRN111
0,6,ain1,"2019-04-08 12:44:53",DRN111
0,7,ain2,"2019-04-08 12:44:53",DRN111
0,8,ain3,"2019-04-08 12:44:53",DRN111
0,5,Temp1,"2019-04-08 12:44:48",DRN111
0,6,ain1,"2019-04-08 12:44:48",DRN111
0,7,ain2,"2019-04-08 12:44:48",DRN111
0,8,ain3,"2019-04-08 12:44:48",DRN111
25.06,5,Temp1,"2019-04-08 12:44:48",DRN111
0,6,ain1,"2019-04-08 12:44:48",DRN111
0,7,ain2,"2019-04-08 12:44:48",DRN111
0,8,ain3,"2019-04-08 12:44:48",DRN111
25.13,5,Temp1,"2019-04-08 12:44:44",DRN111
0,6,ain1,"2019-04-08 12:44:44",DRN111
0,7,ain2,"2019-04-08 12:44:44",DRN111
0,8,ain3,"2019-04-08 12:44:44",DRN111
0,5,Temp1,"2019-04-08 12:44:43",DRN111
0,6,ain1,"2019-04-08 12:44:43",DRN111
0,7,ain2,"2019-04-08 12:44:43",DRN111
0,8,ain3,"2019-04-08 12:44:43",DRN111
25.13,5,Temp1,"2019-04-08 12:44:40",DRN111
0,6,ain1,"2019-04-08 12:44:40",DRN111
0,7,ain2,"2019-04-08 12:44:40",DRN111
0,8,ain3,"2019-04-08 12:44:40",DRN111
0,5,Temp1,"2019-04-08 12:44:39",DRN111
0,6,ain1,"2019-04-08 12:44:39",DRN111
0,7,ain2,"2019-04-08 12:44:39",DRN111
0,8,ain3,"2019-04-08 12:44:39",DRN111
25.13,5,Temp1,"2019-04-08 12:44:37",DRN111
0,6,ain1,"2019-04-08 12:44:37",DRN111
0,7,ain2,"2019-04-08 12:44:37",DRN111
0,8,ain3,"2019-04-08 12:44:37",DRN111
0,5,Temp1,"2019-04-08 12:44:36",DRN111
0,6,ain1,"2019-04-08 12:44:36",DRN111
0,7,ain2,"2019-04-08 12:44:36",DRN111
0,8,ain3,"2019-04-08 12:44:36",DRN111
25.13,5,Temp1,"2019-04-08 12:44:32",DRN111
0,6,ain1,"2019-04-08 12:44:32",DRN111
0,7,ain2,"2019-04-08 12:44:32",DRN111
0,8,ain3,"2019-04-08 12:44:32",DRN111
0,5,Temp1,"2019-04-08 12:44:31",DRN111
0,6,ain1,"2019-04-08 12:44:31",DRN111
0,7,ain2,"2019-04-08 12:44:31",DRN111
0,8,ain3,"2019-04-08 12:44:31",DRN111
25.13,5,Temp1,"2019-04-08 12:44:27",DRN111
0,6,ain1,"2019-04-08 12:44:27",DRN111
0,7,ain2,"2019-04-08 12:44:27",DRN111
0,8,ain3,"2019-04-08 12:44:27",DRN111
0,5,Temp1,"2019-04-08 12:44:26",DRN111
0,6,ain1,"2019-04-08 12:44:26",DRN111
0,7,ain2,"2019-04-08 12:44:26",DRN111
0,8,ain3,"2019-04-08 12:44:26",DRN111
25.13,5,Temp1,"2019-04-08 12:44:23",DRN111
0,6,ain1,"2019-04-08 12:44:23",DRN111
0,7,ain2,"2019-04-08 12:44:23",DRN111
0,8,ain3,"2019-04-08 12:44:23",DRN111
0,5,Temp1,"2019-04-08 12:44:22",DRN111
0,6,ain1,"2019-04-08 12:44:22",DRN111
0,7,ain2,"2019-04-08 12:44:22",DRN111
0,8,ain3,"2019-04-08 12:44:22",DRN111
25.13,5,Temp1,"2019-04-08 12:44:19",DRN111
0,6,ain1,"2019-04-08 12:44:19",DRN111
0,7,ain2,"2019-04-08 12:44:19",DRN111
0,8,ain3,"2019-04-08 12:44:19",DRN111
0,5,Temp1,"2019-04-08 12:44:18",DRN111
0,6,ain1,"2019-04-08 12:44:18",DRN111
0,7,ain2,"2019-04-08 12:44:18",DRN111
0,8,ain3,"2019-04-08 12:44:18",DRN111
25.13,5,Temp1,"2019-04-08 12:44:14",DRN111
0,6,ain1,"2019-04-08 12:44:14",DRN111
0,7,ain2,"2019-04-08 12:44:14",DRN111
0,8,ain3,"2019-04-08 12:44:14",DRN111
0,5,Temp1,"2019-04-08 12:44:13",DRN111
0,6,ain1,"2019-04-08 12:44:13",DRN111
0,7,ain2,"2019-04-08 12:44:13",DRN111
0,8,ain3,"2019-04-08 12:44:13",DRN111
25.13,5,Temp1,"2019-04-08 12:44:10",DRN111
0,6,ain1,"2019-04-08 12:44:10",DRN111
0,7,ain2,"2019-04-08 12:44:10",DRN111
0,8,ain3,"2019-04-08 12:44:10",DRN111
0,5,Temp1,"2019-04-08 12:44:09",DRN111
0,6,ain1,"2019-04-08 12:44:09",DRN111
0,7,ain2,"2019-04-08 12:44:09",DRN111
0,8,ain3,"2019-04-08 12:44:09",DRN111
0,5,Temp1,"2019-04-08 12:44:05",DRN111
0,6,ain1,"2019-04-08 12:44:05",DRN111
0,7,ain2,"2019-04-08 12:44:05",DRN111
0,8,ain3,"2019-04-08 12:44:05",DRN111
25.13,5,Temp1,"2019-04-08 12:44:05",DRN111
0,6,ain1,"2019-04-08 12:44:05",DRN111
0,7,ain2,"2019-04-08 12:44:05",DRN111
0,8,ain3,"2019-04-08 12:44:05",DRN111
25.13,5,Temp1,"2019-04-08 12:44:00",DRN111
0,6,ain1,"2019-04-08 12:44:00",DRN111
0,7,ain2,"2019-04-08 12:44:00",DRN111
0,8,ain3,"2019-04-08 12:44:00",DRN111
0,5,Temp1,"2019-04-08 12:43:59",DRN111
0,6,ain1,"2019-04-08 12:43:59",DRN111
0,7,ain2,"2019-04-08 12:43:59",DRN111
0,8,ain3,"2019-04-08 12:43:59",DRN111
25.13,5,Temp1,"2019-04-08 12:43:55",DRN111
0,6,ain1,"2019-04-08 12:43:55",DRN111
0,7,ain2,"2019-04-08 12:43:55",DRN111
0,8,ain3,"2019-04-08 12:43:55",DRN111
0,5,Temp1,"2019-04-08 12:43:54",DRN111
0,6,ain1,"2019-04-08 12:43:54",DRN111
0,7,ain2,"2019-04-08 12:43:54",DRN111
0,8,ain3,"2019-04-08 12:43:54",DRN111
25.13,5,Temp1,"2019-04-08 12:43:51",DRN111
0,6,ain1,"2019-04-08 12:43:51",DRN111
0,7,ain2,"2019-04-08 12:43:51",DRN111
0,8,ain3,"2019-04-08 12:43:51",DRN111
0,5,Temp1,"2019-04-08 12:43:50",DRN111
0,6,ain1,"2019-04-08 12:43:50",DRN111
0,7,ain2,"2019-04-08 12:43:50",DRN111
